Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,ALLOW normal civil summary,454,0,300,341.0435422898797,264.0055000083521,902.2666999953799,824.9118942731277,7.640589538285044,0.0,300,310,330,360,520,580,650,700,900,900,900
POST,BLOCK prompt injection,76,0,9,24.19818421070599,6.966899993130937,233.91130001982674,1117.1052631578948,1.2790414205058664,0.0,10,22,27,33,54,80,130,230,230,230,230
POST,MASK phone number,223,0,300,343.10633318280514,263.47860001260415,867.6071000227239,899.9282511210762,3.7529767996422136,0.0,300,310,340,380,490,600,750,810,870,870,870
,Aggregated,753,0,290,309.6753552448667,6.966899993130937,902.2666999953799,876.6188579017264,12.672607758433124,0.0,290,310,320,350,500,570,660,710,900,900,900
