dataset_name,model_version,mode,size,precision,recall,f1,accuracy,tp,fp,tn,fn,positive_only,na_reason,metric_scope,latency_ms_avg,model_status,dataset_status,note
deepset/prompt-injections,external-tuned,Rule Only,199,1.0,0.08860759493670886,0.1627906976744186,0.6381909547738693,7,0,120,72,False,,prompt_injection_binary_classification,0.542,disabled,loaded,Loaded from held-out eval split: datasets\external_splits\eval_external_prompt_injection.jsonl
deepset/prompt-injections,external-tuned,Lightweight Model Only,199,1.0,0.6075949367088608,0.7559055118110236,0.8442211055276382,48,0,120,31,False,,prompt_injection_binary_classification,3.082,enabled,loaded,Loaded from held-out eval split: datasets\external_splits\eval_external_prompt_injection.jsonl
deepset/prompt-injections,external-tuned,Hybrid / Full Pipeline,199,1.0,0.6075949367088608,0.7559055118110236,0.8442211055276382,48,0,120,31,False,,prompt_injection_binary_classification,5.754,enabled,loaded,Loaded from held-out eval split: datasets\external_splits\eval_external_prompt_injection.jsonl
protectai/prompt-injection-validation,external-tuned,Rule Only,969,0.8448275862068966,0.23444976076555024,0.36704119850187267,0.651186790505676,98,18,533,320,False,,prompt_injection_binary_classification,1.123,disabled,loaded,Loaded from held-out eval split: datasets\external_splits\eval_external_prompt_injection.jsonl
protectai/prompt-injection-validation,external-tuned,Lightweight Model Only,969,0.9946380697050938,0.8875598086124402,0.9380530973451329,0.9494324045407637,371,2,549,47,False,,prompt_injection_binary_classification,3.731,enabled,loaded,Loaded from held-out eval split: datasets\external_splits\eval_external_prompt_injection.jsonl
protectai/prompt-injection-validation,external-tuned,Hybrid / Full Pipeline,969,0.9946380697050938,0.8875598086124402,0.9380530973451329,0.9494324045407637,371,2,549,47,False,,prompt_injection_binary_classification,7.539,enabled,loaded,Loaded from held-out eval split: datasets\external_splits\eval_external_prompt_injection.jsonl
Lakera/gandalf_ignore_instructions,external-tuned,Rule Only,300,,0.43,,0.43,129,,,171,True,positive_only_dataset_precision_f1_not_applicable,prompt_injection_binary_classification,0.384,disabled,loaded,Loaded from held-out eval split: datasets\external_splits\eval_external_prompt_injection.jsonl
Lakera/gandalf_ignore_instructions,external-tuned,Lightweight Model Only,300,,0.9866666666666667,,0.9866666666666667,296,,,4,True,positive_only_dataset_precision_f1_not_applicable,prompt_injection_binary_classification,3.339,enabled,loaded,Loaded from held-out eval split: datasets\external_splits\eval_external_prompt_injection.jsonl
Lakera/gandalf_ignore_instructions,external-tuned,Hybrid / Full Pipeline,300,,0.9866666666666667,,0.9866666666666667,296,,,4,True,positive_only_dataset_precision_f1_not_applicable,prompt_injection_binary_classification,5.563,enabled,loaded,Loaded from held-out eval split: datasets\external_splits\eval_external_prompt_injection.jsonl
